                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    812,                0.45294,                0.23328,                0.78546,                0.98629,                0.95595,                0.98159,                0.77395,                0.87722,                0.38405,                0.85974,              0.0049819,              0.0049819,              0.0049819
                    813,                0.45626,                0.23083,                0.78134,                 0.9851,                0.95672,                0.98166,                0.77215,                0.87628,                0.38369,                0.85932,              0.0049758,              0.0049758,              0.0049758
                    814,                0.46063,                 0.2326,                0.78308,                0.98567,                  0.957,                0.98159,                0.77182,                0.87576,                0.38338,                0.85916,              0.0049696,              0.0049696,              0.0049696
                    815,                0.45237,                0.23315,                0.78665,                0.98567,                0.95672,                0.98182,                0.77203,                0.87665,                0.38265,                0.85979,              0.0049634,              0.0049634,              0.0049634
                    816,                0.44958,                0.23221,                0.77833,                0.98409,                0.95618,                0.98041,                0.77124,                0.87568,                0.38283,                0.85936,              0.0049572,              0.0049572,              0.0049572
                    817,                0.45327,                0.23247,                0.77748,                  0.988,                0.95414,                0.98175,                0.77271,                0.87661,                0.38261,                 0.8593,               0.004951,               0.004951,               0.004951
                    818,                0.45114,                0.23481,                0.77995,                0.98759,                0.95209,                0.98167,                 0.7744,                0.87645,                0.38388,                0.85869,              0.0049448,              0.0049448,              0.0049448
                    819,                0.47011,                0.24047,                0.77989,                  0.988,                0.95402,                0.98151,                0.77437,                0.87372,                0.38396,                 0.8583,              0.0049386,              0.0049386,              0.0049386
                    820,                0.44953,                0.22952,                0.78275,                0.98806,                 0.9544,                0.98162,                0.77418,                0.87218,                0.38273,                0.85804,              0.0049324,              0.0049324,              0.0049324
                    821,                0.47263,                0.23478,                0.78576,                0.98799,                0.95339,                0.98131,                0.77277,                0.87173,                0.38163,                0.85753,              0.0049263,              0.0049263,              0.0049263
                    822,                0.45336,                 0.2349,                0.78307,                0.98655,                0.95131,                0.98097,                0.77191,                 0.8703,                0.38143,                0.85746,              0.0049201,              0.0049201,              0.0049201
                    823,                0.45144,                 0.2306,                0.77449,                0.98713,                0.94835,                0.98041,                0.77056,                0.86731,                0.38073,                 0.8574,              0.0049139,              0.0049139,              0.0049139
                    824,                 0.4475,                0.23131,                0.77531,                0.98872,                0.94867,                0.98034,                0.77046,                0.86634,                0.37999,                0.85731,              0.0049077,              0.0049077,              0.0049077
                    825,                0.44956,                0.23851,                0.77747,                0.98796,                0.95085,                0.98034,                 0.7708,                0.86525,                0.38094,                0.85692,              0.0049015,              0.0049015,              0.0049015
                    826,                0.46053,                0.23086,                0.77789,                0.98922,                0.95286,                 0.9812,                0.77159,                0.86449,                0.38085,                0.85687,              0.0048953,              0.0048953,              0.0048953
                    827,                0.44046,                0.22841,                0.78355,                0.98734,                 0.9544,                 0.9809,                0.77227,                 0.8651,                0.38136,                0.85688,              0.0048891,              0.0048891,              0.0048891
                    828,                 0.4338,                0.22766,                0.77555,                  0.988,                0.95436,                0.98088,                0.77153,                0.86648,                0.38213,                0.85617,              0.0048829,              0.0048829,              0.0048829
                    829,                0.46269,                0.23867,                0.78035,                0.98705,                0.95286,                0.98066,                0.77286,                0.86736,                0.38169,                0.85645,              0.0048768,              0.0048768,              0.0048768
                    830,                0.44761,                 0.2319,                0.78454,                0.98739,                0.95595,                0.98145,                0.77349,                 0.8671,                0.38113,                0.85657,              0.0048706,              0.0048706,              0.0048706
                    831,                0.45019,                0.23714,                0.77703,                 0.9872,                 0.9538,                0.98145,                0.77379,                0.86713,                0.38194,                0.85658,              0.0048644,              0.0048644,              0.0048644
                    832,                0.46764,                0.23624,                0.78055,                0.98411,                0.95739,                0.98092,                0.77363,                0.86583,                0.38043,                0.85666,              0.0048582,              0.0048582,              0.0048582
                    833,                0.44774,                0.23339,                0.77879,                0.98362,                0.95672,                0.98109,                0.77522,                  0.866,                0.38155,                 0.8567,               0.004852,               0.004852,               0.004852
                    834,                0.44543,                0.23343,                0.77662,                0.98452,                 0.9575,                0.98088,                0.77435,                0.86818,                0.38088,                0.85674,              0.0048458,              0.0048458,              0.0048458
                    835,                0.47526,                0.24284,                0.78877,                0.98516,                 0.9575,                 0.9822,                0.77392,                0.86811,                0.38114,                0.85646,              0.0048396,              0.0048396,              0.0048396
                    836,                0.44154,                0.22571,                0.78253,                0.98488,                0.95671,                0.98073,                0.77476,                0.86695,                0.37968,                0.85656,              0.0048334,              0.0048334,              0.0048334
                    837,                0.45687,                0.24055,                0.77645,                0.98601,                0.95672,                0.98218,                0.77603,                0.86853,                0.37991,                 0.8568,              0.0048272,              0.0048272,              0.0048272
                    838,                0.43449,                0.22196,                0.77673,                0.98568,                0.95779,                0.98203,                0.77562,                0.87004,                0.37956,                0.85729,              0.0048211,              0.0048211,              0.0048211
                    839,                0.46296,                0.23756,                0.78139,                0.98385,                0.95904,                0.98222,                0.77658,                0.86903,                0.37783,                0.85721,              0.0048149,              0.0048149,              0.0048149
                    840,                0.46484,                0.23582,                0.78017,                0.98467,                0.95904,                0.98254,                 0.7745,                0.86876,                0.37744,                0.85679,              0.0048087,              0.0048087,              0.0048087
                    841,                0.44008,                0.22932,                0.77962,                0.98348,                0.95827,                 0.9821,                0.77398,                0.87131,                0.37569,                0.85691,              0.0048025,              0.0048025,              0.0048025
                    842,                 0.4475,                 0.2318,                0.77547,                0.98182,                0.95977,                0.98209,                0.77538,                 0.8709,                0.37698,                0.85705,              0.0047963,              0.0047963,              0.0047963
