                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.7192,                0.73905,                0.92203,                0.93776,                0.87172,                0.91044,                0.37941,                 1.9185,                0.87013,                0.97116,              0.0097216,              0.0097216,              0.0097216
                     47,                 1.6718,                0.72896,                0.90401,                0.95798,                0.88408,                0.92744,                0.43764,                 1.7349,                0.78955,                 0.9492,              0.0097154,              0.0097154,              0.0097154
                     48,                 1.6376,                0.73985,                0.91422,                0.95724,                0.90495,                0.94294,                0.45594,                 1.7244,                0.75348,                0.94251,              0.0097092,              0.0097092,              0.0097092
                     49,                 1.6417,                0.71038,                0.92132,                0.95002,                0.91808,                0.94586,                0.46573,                 1.6506,                0.72816,                0.92729,               0.009703,               0.009703,               0.009703
                     50,                 1.6839,                0.73677,                 0.9111,                0.96704,                0.90108,                  0.937,                0.44958,                 1.6724,                0.75822,                0.92863,              0.0096968,              0.0096968,              0.0096968
                     51,                 1.6642,                0.71104,                0.91593,                0.94795,                0.89567,                0.93999,                0.46738,                 1.6707,                0.76015,                0.93373,              0.0096906,              0.0096906,              0.0096906
                     52,                 1.6553,                0.70427,                0.91104,                0.94204,                0.91698,                0.93921,                 0.4676,                 1.6496,                0.73427,                0.93369,              0.0096844,              0.0096844,              0.0096844
                     53,                  1.626,                0.71707,                0.91385,                0.93376,                0.89329,                0.91316,                0.44041,                 1.7363,                 0.7877,                 0.9441,              0.0096783,              0.0096783,              0.0096783
                     54,                 1.6337,                0.71021,                0.91375,                0.95666,                0.90495,                0.93908,                0.47617,                  1.643,                0.74409,                0.92976,              0.0096721,              0.0096721,              0.0096721
                     55,                 1.6126,                0.69816,                0.92208,                0.95618,                0.91731,                0.94476,                0.46675,                 1.6424,                0.73866,                 0.9307,              0.0096659,              0.0096659,              0.0096659
                     56,                  1.605,                0.68042,                0.89637,                0.95629,                0.91113,                 0.9467,                0.48141,                 1.6459,                0.72815,                0.93483,              0.0096597,              0.0096597,              0.0096597
                     57,                    1.6,                0.69063,                 0.9124,                0.94395,                0.91102,                 0.9362,                0.45152,                 1.6917,                0.74146,                0.93968,              0.0096535,              0.0096535,              0.0096535
                     58,                 1.5749,                0.67846,                0.91025,                0.94649,                0.92504,                0.94559,                0.45915,                 1.7004,                0.73816,                0.94193,              0.0096473,              0.0096473,              0.0096473
                     59,                 1.5838,                0.68858,                0.88777,                0.95954,                0.89811,                0.94631,                0.47907,                  1.623,                 0.7266,                0.92631,              0.0096411,              0.0096411,              0.0096411
                     60,                 1.5713,                0.66615,                0.91018,                0.94043,                0.90276,                0.94386,                0.48681,                 1.6013,                0.75079,                0.92643,              0.0096349,              0.0096349,              0.0096349
                     61,                 1.5347,                0.66915,                0.90899,                0.96574,                0.91577,                0.94281,                0.47391,                 1.6087,                0.72904,                0.92684,              0.0096288,              0.0096288,              0.0096288
                     62,                  1.559,                0.66305,                0.90323,                0.95532,                0.91113,                 0.9364,                0.46289,                 1.6619,                0.73883,                0.93539,              0.0096226,              0.0096226,              0.0096226
                     63,                 1.5482,                0.65454,                0.90135,                0.94621,                0.93795,                0.95037,                0.48845,                 1.5804,                0.70556,                0.92264,              0.0096164,              0.0096164,              0.0096164
                     64,                 1.5728,                0.68773,                0.88839,                0.95089,                0.92767,                0.94162,                  0.467,                 1.5923,                0.74335,                0.92169,              0.0096102,              0.0096102,              0.0096102
